id,item_group_id,title,description,link,image_link,price,availability,condition,google_product_category,product_type,additional_image_link,sale_price,brand,gender,age_group,size,size_type
PIN-101,PIN-1,Malcolm X Unisex Hoodie,"Soft, smooth, and stylish. Inspired by photo from unknown source. Reimagined and drawn by E. Wabusima.
 
 One of the most influential black revolutionaries ever to grace earth, Malcolm X is featured on this special edition hoodie reminding us of his greatness, vision, and effortless cool. ***We want you to look good in our hoodie, and make it one of your go-to’s for as long as possible. To maintain optimal quality, we suggest that you:
 
 WASH INSIDE OUTHANG TO DRY (optional)
 
 • 50% pre-shrunk cotton, 50% polyester• Fabric weight: 8.0 oz/yd_ (271.25 g/m_)• Air-jet spun yarn with a soft feel and reduced pilling• Double-lined hood with matching drawcord• Quarter-turned body to avoid crease down the middle• 1 _ 1 athletic rib-knit cuffs and waistband with spandex• Front pouch pocket• Double-needle stitched collar, shoulders, armholes, cuffs, and hem• Blank product sourced from Honduras, Mexico, or Nicaragua",https://www.peepthevisuals.com/shop/malcolm-x-unisex-hoodie,https://i.postimg.cc/7PsZdpWD/unisex-heavy-blend-hoodie-white-front-6178a32acb7c1.png,45,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops,Hoodies,,,Peep The Visuals,unisex,adult,"S, M, L, XL, XXL",regular
PIN-201,PIN-2,Foxy Unisex Hoodie,"INSPIRED BY THE 1972 PHOTOGRAPH CAPTURED OF PAM GRIER BY MICHAEL OCHS. REIMAGINED AND DRAWN BY E. WABUSIMA.
 
 ***We want you to look good in our hoodie, and make it one of your go-to’s for as long as possible. To maintain optimal quality, we suggest that you:
 
 WASH INSIDE OUT
 HANG TO DRY (OPTIONAL)
 • 50% pre-shrunk cotton, 50% polyester
 • Fabric weight: 8.0 oz/yd_ (271.25 g/m_)
 • Air-jet spun yarn with a soft feel and reduced pilling
 • Double-lined hood with matching drawcord
 • Quarter-turned body to avoid crease down the middle
 • 1 _ 1 athletic rib-knit cuffs and waistband with spandex
 • Front pouch pocket
 • Double-needle stitched collar, shoulders, armholes, cuffs, and hem
 • Blank product sourced from Honduras, Mexico, or Nicaragua",https://www.peepthevisuals.com/shop/foxy-unisex-hoodie,https://i.postimg.cc/DZt4VHxx/unisex-heavy-blend-hoodie-red-front-61b89ff14d8d7.jpg,45,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops,Hoodies,,,Peep The Visuals,unisex,adult,"S, M, L, XL, XXL",regular
PIN-301,PIN-3,Foxy Unisex Short Sleeve T-Shirt,"This t-shirt is everything you've dreamed of and more. It feels soft and lightweight, with the right amount of stretch. It's comfortable and flattering for all.
 
 INSPIRED BY THE 1972 PHOTOGRAPH CAPTURED OF PAM GRIER BY MICHAEL OCHS. REIMAGINED AND DRAWN BY E. WABUSIMA.
 • 100% combed and ring-spun cotton (Heather colors contain polyester)
 • Ash color is 99% combed and ring-spun cotton, 1% polyester
 • Heather colors are 52% combed and ring-spun cotton, 48% polyester
 • Athletic and Black Heather are 90% combed and ring-spun cotton, 10% polyester
 • Heather Prism colors are 99% combed and ring-spun cotton, 1% polyester
 • Fabric weight: 4.2 oz (142 g/m2)
 • Pre-shrunk fabric
 • Side-seamed construction
 • Shoulder-to-shoulder taping",https://www.peepthevisuals.com/shop/foxy-short-sleeve-unisex-t-shirt,https://i.postimg.cc/RhLtX57N/unisex-staple-t-shirt-olive-front-61b89b3a2147f.jpg,25,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,,,Peep The Visuals,unisex,adult,"S, M, L, XL, XXL",regular
PIN-401,PIN-4,Spring Green Paper Big-Beaded Bracelet,"Made in East Africa
 -each item uniquely crafted
 -made of recycled paper
 -green and gold beading
 -elastic band",https://www.peepthevisuals.com/shop/spring-green-paper-big-beaded-bracelet,https://i.postimg.cc/mgKLYLmZ/spring-green-paper-bracelet.jpg,10,in stock,new,Apparel & Accessories > Jewelry > Bracelets,Bracelets,,5,Peep The Visuals,female,adult,one size fits all,snug
PIN-501,PIN-5,Soft Pink Paper Beaded Bracelet,"Made in East Africa
 -Each item uniquely crafted
 -Made of recycled paper
 -Pink and gold beading
 -Elastic band",https://www.peepthevisuals.com/shop/soft-pink-paper-beaded-bracelet,https://i.postimg.cc/W4LM9J8h/soft-pink-beaded-bracelet.jpg,10,in stock,new,Apparel & Accessories > Jewelry > Bracelets,Bracelets,,5,Peep The Visuals,female,adult,one size fits all,regular
PIN-601,PIN-6,Baby Blue Paper Beaded Bracelet,"Made in East Africa
 -Each item uniquely crafted
 -Made of recycled paper
 -Blue and gold beading
 -Elastic band",https://www.peepthevisuals.com/shop/baby-blue-paper-beaded-bracelet,https://i.postimg.cc/zXwzsjL1/DSC-1197.jpg,5,in stock,new,Apparel & Accessories > Jewelry > Bracelets,Bracelets,,5,Peep The Visuals,female,adult,one size fits all,regular
PIN-701,PIN-7,Light Brown Paper Beaded Bracelet,"Made in East Africa
 -Each item uniquely crafted
 -Made of recycled paper
 -Brown and gold beading
 -Elastic band",https://www.peepthevisuals.com/shop/light-brown-paper-beaded-bracelet,https://i.postimg.cc/hj8ZDfVh/DSC-1177.jpg,5,in stock,new,Apparel & Accessories > Jewelry > Bracelets,Bracelets,,5,Peep The Visuals,female,adult,one size fits all,regular
PIN-801,PIN-8,Jamaican Flag Bracelet,"Yellow/green/black beading
 -Jamaican flag
 -snug fit / no stretch",https://www.peepthevisuals.com/shop/jamaican-flag-bracelet,https://i.postimg.cc/Ss8j1YHT/DSC-0021.jpg,5,in stock,new,Apparel & Accessories > Jewelry > Bracelets,Bracelets,,5,Peep The Visuals,unisex,adult,one size fits all,snug
PIN-901,PIN-9,Ugandan Beaded Bracelet,"Yellow/red/black beading
 -Ugandan colors
 -snug fit / no stretch",https://www.peepthevisuals.com/shop/ugandan-beaded-bracelet,https://i.postimg.cc/v8NStgGF/DSC-0009.jpg,10,in stock,new,Apparel & Accessories > Jewelry > Bracelets,Bracelets,,5,Peep The Visuals,unisex,adult,one size fits all,snug
PIN-1001,PIN-10,Ugandan Leather Bracelet,"Yellow/red/black beading
 -Ugandan colors
 -leather and beaded strap
 -snap button",https://www.peepthevisuals.com/shop/ugandan-beaded-leather-bracelet,https://i.postimg.cc/qBjQ1fwf/DSC-1162.jpg,12,in stock,new,Apparel & Accessories > Jewelry > Bracelets,Bracelets,,5,Peep The Visuals,female,adult,one size fits all,regular
